task,package,median
buffer,geopandas,9.74
distance,geopandas,8.34
intersects,geopandas,0.08
load,geopandas,36.7
sample,geopandas,18.68
transform,geopandas,0.47
write,geopandas,64
buffer,geos,14.43
distance,geos,11.18
intersects,geos,2.32
buffer,sf,21.29
distance,sf,1.28
intersects,sf,4.6
load,sf,5.25
sample,sf,13.8
transform,sf,5.6
write,sf,8.82
buffer,terra,24.83
distance,terra,1.23
intersects,terra,0.27
load,terra,0.71
sample,terra,7.55
transform,terra,0.88
write,terra,7.74
distance,s2,23.19
intersects,s2,0.69
transform,s2,6.84
intersects,geos-prepared,0.13
intersects,sf-prepared,2.49
